Index,Sales
1,16.151
2,16.612
3,18.807
4,19.772
5,20.054
6,21.5
7,19.943
8,17.526
9,16.806
10,17.72
11,14.429
12,14.885
13,16.53
14,17.775
15,22.031
16,22.551
17,22.176
18,23.795
19,21.699
20,20.134
21,21.452
22,23.356
23,22.717
24,19.631
25,18.499
26,19.739
27,24.255
28,23.503
29,26.24
30,26.818
31,23.774
32,23.502
33,22.554
34,25.182
35,24.218
36,22.911
37,23.455
38,23.627
39,28.928
40,27.373
41,28.571
42,27.867
43,26.067
44,25.025
45,22.842
46,26.086
47,23.218
48,18.343
49,18.437
50,18.041
51,21.789
52,23.102
53,24.293
54,23.673
55,24.273
56,23.923
57,19.913
58,20.773
59,18.002
60,16.086
61,17.293
62,18.574
63,19.492
64,21.523
65,23.435
66,23.559
67,23.875
68,21.644
69,20.757
70,23.477
71,20.177
72,20.134
73,19.823
74,21.357
75,26.086
76,26.979
77,26.188
78,27.687
79,26.381
80,24.29
81,22.549
82,23.83
83,23.066
84,23.173
85,21.506
86,22.964
87,28.889
88,28.468
89,28.347
90,29.59
91,27.247
92,27.818
93,24.77
94,27.101
95,25.095
96,23.681
97,21.54
98,22.993
99,29.855
100,29.28
101,31.19
102,31.512
103,28.464
104,29.078
105,25.122
106,28.258
107,26.574
108,24.251
109,24.758
110,25.106
111,30.735
112,29.214
113,29.712
114,27.614
115,25.787
116,27.881
117,23.909
118,25.546
119,22.873
120,21.135
121,21.825
122,22.07
123,22.762
124,21.027
125,20.621
126,21.308
127,22.971
128,21.305
129,20.056
130,22.085
131,19.299
132,18.725
133,19
134,20.203
135,24.197
136,22.552
137,21.726
138,22.898
139,22.825
140,23.288
141,21.253
142,20.407
143,18.432
144,18.245
145,16.628
146,19.075
147,23.512
148,22.654
149,23.58
150,21.793
151,21.339
152,21.096
153,20.928
154,20.746
155,22.188
156,20.466
157,18.767
158,19.763
159,26.155
160,24.716
161,26.175
162,28.279
163,25.952
164,25.264
165,24.435
166,25.091
167,24.795
168,24.61
169,24.279
170,26.516
171,29.322
172,29.271
173,31.622
174,31.652
175,29.133
176,28.778
177,25.157
178,28.216
179,26.53
180,24.759
181,25.781
182,26.348
183,30.976
184,32.154
185,34.335
186,31.816
187,32.14
188,32.565
189,32.498
190,28.351
191,26.126
192,26.015
193,26.698
194,26.175
195,29.519
196,31.829
197,34.385
198,33.304
199,32.54
200,32.83
201,39.301
202,31.687
203,27.399
204,33.374
205,23.656
206,27.328
207,33.152
208,34.287
209,34.164
210,36.627
211,35.829
212,36.242
213,33.349
214,31.489
215,28.475
216,29.703
217,28.8
218,31.484
219,36.639
220,35.366
221,36.395
222,37.736
223,34.476
224,35.56
225,31.936
226,31.714
227,30.77
228,30.583
229,29.091
230,29.025
231,35.361
232,34.351
233,37.135
234,36.818
235,34.552
236,37.901
237,34.458
238,30.934
239,29.519
240,27.566
241,30.925
242,28.627
243,34.222
244,33.14
245,35.328
246,34.886
247,33.403
248,33.871
249,30.139
250,30.503
251,27.838
252,25.374
253,24.337
254,25.642
255,30.376
256,31.215
257,32.821
258,31.528
259,31.869
260,30.724
261,29.221
262,29.094
263,26.304
264,25.488
265,26.633
266,27.907
267,31.215
268,32.119
269,32.391
270,34.034
271,33.434
272,31.176
273,31.533
274,32.07
275,28.161
276,28.753
277,27.81
278,28.232
279,33.796
280,35.223
281,35.456
282,36.86
283,36.753
284,35.475
285,34.17
286,34.022
287,32.894
288,32.938
289,30.632
290,32.842
291,40.823
292,39.772
293,39.279
294,41.04
295,37.871
296,39.738
297,38.154
298,37.848
299,35.663
300,34.734
301,33.005
302,33.633
303,41.801
304,38.655
305,42.539
306,44.182
307,40.173
308,42.703
309,38.988
310,38.464
311,36.448
312,34.77
313,35.311
314,38.915
315,43.651
316,42.194
317,45.309
318,42.761
319,42.709
320,42.957
321,39.491
322,41.59
323,36.852
324,35.358
325,36.871
326,38.174
327,44.035
328,42.869
329,44.284
330,43.877
331,44.577
332,44.164
333,41.443
334,41.805
335,36.5
336,38
337,37.366
338,38.248
339,45.199
340,45.38
341,47.047
