Date,g
1/1/2010,44
2/1/2010,108.7
3/1/2010,119.2
4/1/2010,96.8
5/1/2010,111.4
6/1/2010,117.8
7/1/2010,108
8/1/2010,118.4
9/1/2010,117.6
10/1/2010,87.3
11/1/2010,93.2
12/1/2010,111.8
1/1/2011,47.5
2/1/2011,104
3/1/2011,118
4/1/2011,103.6
5/1/2011,113.5
6/1/2011,109.5
7/1/2011,112.5
8/1/2011,120.8
9/1/2011,117.9
10/1/2011,83.2
11/1/2011,92.7
12/1/2011,114.4
1/1/2012,48.4
2/1/2012,105.3
3/1/2012,115.4
4/1/2012,105.3
5/1/2012,114
6/1/2012,109
7/1/2012,111.8
8/1/2012,121.6
9/1/2012,113.7
10/1/2012,83.1
11/1/2012,93.2
12/1/2012,115.2
1/1/2013,49.8
2/1/2013,104.7
3/1/2013,114.7
4/1/2013,101.3
5/1/2013,108.3
6/1/2013,112
7/1/2013,112.5
8/1/2013,123.1
9/1/2013,110.4
10/1/2013,86.8
11/1/2013,90.6
12/1/2013,119.3
1/1/2014,48.1
2/1/2014,107.5
3/1/2014,114.8
4/1/2014,102.5
5/1/2014,107.5
6/1/2014,110.2
7/1/2014,113.8
8/1/2014,123
9/1/2014,111.8
10/1/2014,86.1
11/1/2014,87.4
12/1/2014,119.1
1/1/2015,48.4
2/1/2015,110
3/1/2015,112.5
4/1/2015,104
5/1/2015,106.8
6/1/2015,116.3
7/1/2015,109.2
8/1/2015,123.3
9/1/2015,109.3
10/1/2015,86
11/1/2015,85.6
12/1/2015,121.1
1/1/2016,50.4
2/1/2016,110.2
3/1/2016,113.8
4/1/2016,103.5
5/1/2016,106.2
6/1/2016,112.3
7/1/2016,103.1
8/1/2016,124.1
9/1/2016,109.9
10/1/2016,81.4
11/1/2016,95.9
12/1/2016,117.4
1/1/2017,53.5
2/1/2017,109.9
3/1/2017,114.1
4/1/2017,100.1
5/1/2017,112.1
6/1/2017,108.2
7/1/2017,106.6
8/1/2017,118.9
9/1/2017,108.9
10/1/2017,92.6
11/1/2017,88.8
12/1/2017,121.8
1/1/2018,52.4
