Month,Sales
1966-11,61.00
1966-12,48.00
1967-01,53.00
1967-02,78.00
1967-03,75.00
1967-04,58.00
1967-05,146.00
1967-06,193.00
1967-07,124.00
1967-08,120.00
1967-09,134.00
1967-10,99.00
1967-11,130.00
1967-12,166.00
1968-01,168.00
1968-02,267.00
1968-03,314.00
1968-04,432.00
1968-05,355.00
1968-06,384.00
1968-07,232.00
1968-08,235.00
1968-09,293.00
1968-10,242.00
1968-11,248.00
1968-12,236.00
1969-01,209.00
1969-02,358.00
1969-03,352.00
1969-04,406.00
1969-05,562.00
1969-06,389.00
1969-07,416.00
1969-08,493.00
1969-09,409.00
1969-10,328.00
1969-11,222.00
1969-12,195.00
1970-01,156.00
1970-02,439.00
1970-03,671.00
1970-04,874.00
1970-05,558.00
1970-06,621.00
1970-07,628.00
1970-08,652.00
1970-09,495.00
1970-10,344.00
1970-11,405.00
1970-12,586.00
1971-01,403.00
1971-02,700.00
1971-03,837.00
1971-04,1224.00
1971-05,1117.00
1971-06,1214.00
1971-07,762.00
1971-08,846.00
1971-09,1228.00
1971-10,937.00
1971-11,1396.00
1971-12,1174.00
1972-01,628.00
1972-02,1753.00
